lead_id,timestamp,channel,variant,device,time_spent_sec,converted,lead_quality_score,ad_spend_cpc
LD-10000,2026-06-01 00:00:14.351063512,Paid Search,VarB_Interactive,Desktop,3.9,0,0,4.28
LD-10001,2026-06-01 00:00:30.157285909,Email Direct,Control,Desktop,9.8,0,0,0.0
LD-10002,2026-06-01 00:00:43.380380566,Organic,VarA_ShortForm,Mobile,24.3,0,0,0.0
LD-10003,2026-06-01 00:01:19.623247231,Email Direct,VarA_ShortForm,Mobile,5.6,0,0,0.0
LD-10004,2026-06-01 00:02:04.737134056,Paid Search,VarA_ShortForm,Mobile,3.8,0,0,4.15
LD-10005,2026-06-01 00:02:16.927408513,Email Direct,Control,Desktop,15.9,0,0,0.0
LD-10006,2026-06-01 00:02:54.953899920,Paid Social,VarA_ShortForm,Mobile,12.7,0,0,2.86
LD-10007,2026-06-01 00:04:02.595280641,Email Direct,Control,Desktop,32.9,0,0,0.0
LD-10008,2026-06-01 00:04:12.900304514,Paid Search,VarA_ShortForm,Mobile,25.7,0,0,2.68
LD-10009,2026-06-01 00:04:45.720830323,Paid Social,VarB_Interactive,Mobile,6.6,0,0,1.24
LD-10010,2026-06-01 00:05:24.359657043,Email Direct,Control,Mobile,21.0,0,0,0.0
LD-10011,2026-06-01 00:05:49.124267625,Email Direct,VarB_Interactive,Mobile,9.6,0,0,0.0
LD-10012,2026-06-01 00:06:48.873946323,Organic,VarA_ShortForm,Mobile,15.7,0,0,0.0
LD-10013,2026-06-01 00:07:46.661046431,Paid Search,Control,Mobile,54.3,1,87,2.56
LD-10014,2026-06-01 00:08:25.083178326,Paid Search,VarA_ShortForm,Desktop,7.1,0,0,4.13
LD-10015,2026-06-01 00:09:48.483061718,Paid Social,VarB_Interactive,Mobile,17.0,0,0,2.35
LD-10016,2026-06-01 00:10:24.346750309,Paid Search,Control,Mobile,4.1,0,0,3.42
LD-10017,2026-06-01 00:10:24.371294738,Paid Search,VarA_ShortForm,Mobile,17.4,0,0,3.93
LD-10018,2026-06-01 00:10:24.684143868,Paid Search,VarB_Interactive,Mobile,16.8,0,0,3.61
LD-10019,2026-06-01 00:10:29.686054257,Email Direct,VarA_ShortForm,Mobile,8.7,0,0,0.0
LD-10020,2026-06-01 00:10:35.793007086,Organic,VarA_ShortForm,Desktop,10.8,0,0,0.0
LD-10021,2026-06-01 00:10:54.362039536,Paid Search,VarA_ShortForm,Mobile,8.9,0,0,4.43
LD-10022,2026-06-01 00:13:15.938487494,Paid Search,VarA_ShortForm,Mobile,7.0,0,0,3.68
LD-10023,2026-06-01 00:13:22.825123695,Paid Search,VarA_ShortForm,Mobile,26.1,0,0,2.89
LD-10024,2026-06-01 00:14:15.772800562,Paid Social,VarA_ShortForm,Mobile,19.8,0,0,1.3
LD-10025,2026-06-01 00:14:52.601815930,Email Direct,VarA_ShortForm,Mobile,6.6,0,0,0.0
LD-10026,2026-06-01 00:17:16.003191530,Paid Search,VarB_Interactive,Mobile,4.6,0,0,4.18
LD-10027,2026-06-01 00:17:20.802113680,Paid Social,VarA_ShortForm,Desktop,43.1,0,0,1.82
LD-10028,2026-06-01 00:17:43.470226341,Paid Search,VarA_ShortForm,Desktop,6.8,0,0,2.79
LD-10029,2026-06-01 00:22:01.891529325,Organic,VarB_Interactive,Mobile,52.3,0,0,0.0
LD-10030,2026-06-01 00:23:56.446444978,Organic,Control,Mobile,12.0,0,0,0.0
LD-10031,2026-06-01 00:25:41.612846567,Organic,VarB_Interactive,Desktop,8.8,0,0,0.0
LD-10032,2026-06-01 00:25:49.857459789,Paid Search,VarB_Interactive,Desktop,10.6,0,0,3.21
LD-10033,2026-06-01 00:26:25.358323281,Paid Social,VarA_ShortForm,Mobile,9.1,0,0,1.48
LD-10034,2026-06-01 00:26:28.620743266,Paid Search,Control,Mobile,16.2,0,0,3.46
LD-10035,2026-06-01 00:28:01.869944165,Paid Social,VarA_ShortForm,Mobile,11.4,0,0,1.87
LD-10036,2026-06-01 00:28:13.588853288,Paid Search,VarB_Interactive,Mobile,16.4,0,0,3.15
LD-10037,2026-06-01 00:29:49.709857471,Email Direct,VarB_Interactive,Mobile,4.7,0,0,0.0
LD-10038,2026-06-01 00:30:58.097767454,Paid Social,Control,Mobile,9.0,0,0,1.58
LD-10039,2026-06-01 00:34:06.412753623,Paid Social,Control,Mobile,3.1,0,0,1.94
LD-10040,2026-06-01 00:35:11.488064292,Email Direct,VarB_Interactive,Mobile,18.8,0,0,0.0
LD-10041,2026-06-01 00:36:52.783757749,Paid Social,VarA_ShortForm,Mobile,13.5,0,0,1.29
LD-10042,2026-06-01 00:38:05.436145848,Paid Search,Control,Desktop,4.9,0,0,2.42
LD-10043,2026-06-01 00:39:07.924957865,Paid Social,VarB_Interactive,Mobile,17.7,0,0,2.82
